id,firstname,lastname,salary,address,dateofbirth,department
1,FirstName1,LastName1,30001,Pune,1995-01-02,HR
2,FirstName2,LastName2,30002,Bangalore,1995-01-03,Finance
3,FirstName3,LastName3,30003,Hyderabad,1995-01-04,Sales
4,FirstName4,LastName4,30004,Chennai,1995-01-05,Marketing
5,FirstName5,LastName5,30005,Delhi,1995-01-06,Support
6,FirstName6,LastName6,30006,Noida,1995-01-07,Admin
7,FirstName7,LastName7,30007,Gurgaon,1995-01-08,Operations
8,FirstName8,LastName8,30008,Mumbai,1995-01-09,IT
9,FirstName9,LastName9,30009,Pune,1995-01-10,HR
10,FirstName10,LastName10,30010,Bangalore,1995-01-11,Finance
11,FirstName11,LastName11,30011,Hyderabad,1995-01-12,Sales
12,FirstName12,LastName12,30012,Chennai,1995-01-13,Marketing
13,FirstName13,LastName13,30013,Delhi,1995-01-14,Support
14,FirstName14,LastName14,30014,Noida,1995-01-15,Admin
15,FirstName15,LastName15,30015,Gurgaon,1995-01-16,Operations
16,FirstName16,LastName16,30016,Mumbai,1995-01-17,IT
17,FirstName17,LastName17,30017,Pune,1995-01-18,HR
18,FirstName18,LastName18,30018,Bangalore,1995-01-19,Finance
19,FirstName19,LastName19,30019,Hyderabad,1995-01-20,Sales
20,FirstName20,LastName20,30020,Chennai,1995-01-21,Marketing
21,FirstName21,LastName21,30021,Delhi,1995-01-22,Support
22,FirstName22,LastName22,30022,Noida,1995-01-23,Admin
23,FirstName23,LastName23,30023,Gurgaon,1995-01-24,Operations
24,FirstName24,LastName24,30024,Mumbai,1995-01-25,IT
25,FirstName25,LastName25,30025,Pune,1995-01-26,HR
26,FirstName26,LastName26,30026,Bangalore,1995-01-27,Finance
27,FirstName27,LastName27,30027,Hyderabad,1995-01-28,Sales
28,FirstName28,LastName28,30028,Chennai,1995-01-29,Marketing
29,FirstName29,LastName29,30029,Delhi,1995-01-30,Support
30,FirstName30,LastName30,30030,Noida,1995-01-31,Admin
31,FirstName31,LastName31,30031,Gurgaon,1995-02-01,Operations
32,FirstName32,LastName32,30032,Mumbai,1995-02-02,IT
33,FirstName33,LastName33,30033,Pune,1995-02-03,HR
34,FirstName34,LastName34,30034,Bangalore,1995-02-04,Finance
35,FirstName35,LastName35,30035,Hyderabad,1995-02-05,Sales
36,FirstName36,LastName36,30036,Chennai,1995-02-06,Marketing
37,FirstName37,LastName37,30037,Delhi,1995-02-07,Support
38,FirstName38,LastName38,30038,Noida,1995-02-08,Admin
39,FirstName39,LastName39,30039,Gurgaon,1995-02-09,Operations
40,FirstName40,LastName40,30040,Mumbai,1995-02-10,IT
41,FirstName41,LastName41,30041,Pune,1995-02-11,HR
42,FirstName42,LastName42,30042,Bangalore,1995-02-12,Finance
43,FirstName43,LastName43,30043,Hyderabad,1995-02-13,Sales
44,FirstName44,LastName44,30044,Chennai,1995-02-14,Marketing
45,FirstName45,LastName45,30045,Delhi,1995-02-15,Support
46,FirstName46,LastName46,30046,Noida,1995-02-16,Admin
47,FirstName47,LastName47,30047,Gurgaon,1995-02-17,Operations
48,FirstName48,LastName48,30048,Mumbai,1995-02-18,IT
49,FirstName49,LastName49,30049,Pune,1995-02-19,HR
50,FirstName50,LastName50,30050,Bangalore,1995-02-20,Finance
51,FirstName51,LastName51,30051,Hyderabad,1995-02-21,Sales
52,FirstName52,LastName52,30052,Chennai,1995-02-22,Marketing
53,FirstName53,LastName53,30053,Delhi,1995-02-23,Support
54,FirstName54,LastName54,30054,Noida,1995-02-24,Admin
55,FirstName55,LastName55,30055,Gurgaon,1995-02-25,Operations
56,FirstName56,LastName56,30056,Mumbai,1995-02-26,IT
57,FirstName57,LastName57,30057,Pune,1995-02-27,HR
58,FirstName58,LastName58,30058,Bangalore,1995-02-28,Finance
59,FirstName59,LastName59,30059,Hyderabad,1995-03-01,Sales
60,FirstName60,LastName60,30060,Chennai,1995-03-02,Marketing
61,FirstName61,LastName61,30061,Delhi,1995-03-03,Support
62,FirstName62,LastName62,30062,Noida,1995-03-04,Admin
63,FirstName63,LastName63,30063,Gurgaon,1995-03-05,Operations
64,FirstName64,LastName64,30064,Mumbai,1995-03-06,IT
65,FirstName65,LastName65,30065,Pune,1995-03-07,HR
66,FirstName66,LastName66,30066,Bangalore,1995-03-08,Finance
67,FirstName67,LastName67,30067,Hyderabad,1995-03-09,Sales
68,FirstName68,LastName68,30068,Chennai,1995-03-10,Marketing
69,FirstName69,LastName69,30069,Delhi,1995-03-11,Support
70,FirstName70,LastName70,30070,Noida,1995-03-12,Admin
71,FirstName71,LastName71,30071,Gurgaon,1995-03-13,Operations
72,FirstName72,LastName72,30072,Mumbai,1995-03-14,IT
73,FirstName73,LastName73,30073,Pune,1995-03-15,HR
74,FirstName74,LastName74,30074,Bangalore,1995-03-16,Finance
75,FirstName75,LastName75,30075,Hyderabad,1995-03-17,Sales
76,FirstName76,LastName76,30076,Chennai,1995-03-18,Marketing
77,FirstName77,LastName77,30077,Delhi,1995-03-19,Support
78,FirstName78,LastName78,30078,Noida,1995-03-20,Admin
79,FirstName79,LastName79,30079,Gurgaon,1995-03-21,Operations
